Depreciation $15,215 $4,326 $3,534 $3,960 $3,460 2023 "Acura TLX SedanS 4dr Sedan AWD w/Performance Wheel & Tire Package" "3.0L 6cyl Turbo 10A" 59072
        Fuel  $3,149 $3,243 $3,340 $3,441 $3,544 2023 "Acura TLX SedanS 4dr Sedan AWD w/Performance Wheel & Tire Package" "3.0L 6cyl Turbo 10A" 59072
   Insurance  $1,475 $1,527 $1,580 $1,635 $1,693 2023 "Acura TLX Sedan 4dr Sedan w/A-Spec Package" "2.0L 4cyl Turbo 10A" 49613
 Maintenance     $86   $440   $386 $2,355 $2,175 2023 "Acura TLX Sedan 4dr Sedan w/A-Spec Package" "2.0L 4cyl Turbo 10A" 49613
     Repairs      $0     $0     $0   $419   $640 2023 "Acura TLX Sedan 4dr Sedan w/A-Spec Package" "2.0L 4cyl Turbo 10A" 49613
Taxes & Fees  $3,130   $223   $200   $181   $181 2023 "Acura TLX Sedan 4dr Sedan w/A-Spec Package" "2.0L 4cyl Turbo 10A" 49613
   Financing  $3,924 $3,198 $2,400 $1,522   $557 2023 "Acura TLX Sedan 4dr Sedan w/A-Spec Package" "2.0L 4cyl Turbo 10A" 49613
Depreciation $13,562 $3,460 $2,828 $3,169 $2,769 2023 "Acura TLX Sedan 4dr Sedan w/A-Spec Package" "2.0L 4cyl Turbo 10A" 49613
        Fuel  $2,646 $2,725 $2,807 $2,891 $2,978 2023 "Acura TLX Sedan 4dr Sedan w/A-Spec Package" "2.0L 4cyl Turbo 10A" 49613
   Insurance  $1,368 $1,416 $1,465 $1,517 $1,570 2023 "Acura TLX Sedan 4dr Sedan w/Technology Package" "2.0L 4cyl Turbo 10A" 45892
 Maintenance     $86   $440   $386 $2,355 $2,175 2023 "Acura TLX Sedan 4dr Sedan w/Technology Package" "2.0L 4cyl Turbo 10A" 45892
     Repairs      $0     $0     $0   $419   $640 2023 "Acura TLX Sedan 4dr Sedan w/Technology Package" "2.0L 4cyl Turbo 10A" 45892
Taxes & Fees  $2,896   $206   $185   $168   $168 2023 "Acura TLX Sedan 4dr Sedan w/Technology Package" "2.0L 4cyl Turbo 10A" 45892
   Financing  $3,630 $2,958 $2,220 $1,407   $516 2023 "Acura TLX Sedan 4dr Sedan w/Technology Package" "2.0L 4cyl Turbo 10A" 45892
Depreciation $13,374 $2,992 $2,445 $2,740 $2,393 2023 "Acura TLX Sedan 4dr Sedan w/Technology Package" "2.0L 4cyl Turbo 10A" 45892
        Fuel  $2,646 $2,725 $2,807 $2,891 $2,978 2023 "Acura TLX Sedan 4dr Sedan w/Technology Package" "2.0L 4cyl Turbo 10A" 45892
   Insurance  $1,387 $1,436 $1,486 $1,538 $1,592 2023 "Acura TLX Sedan 4dr Sedan" "2.0L 4cyl Turbo 10A" 43177
 Maintenance     $86   $440   $386 $2,355 $2,175 2023 "Acura TLX Sedan 4dr Sedan" "2.0L 4cyl Turbo 10A" 43177
     Repairs      $0     $0     $0   $419   $640 2023 "Acura TLX Sedan 4dr Sedan" "2.0L 4cyl Turbo 10A" 43177
Taxes & Fees  $2,725   $194   $174   $158   $158 2023 "Acura TLX Sedan 4dr Sedan" "2.0L 4cyl Turbo 10A" 43177
